"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"park, mariah","weightlifting","chlorthalidone","public warning","12/11/2023",2023-12-11,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"cutro-kelly, nina","judo","anabolic agent","2-year suspension; loss of results","09/19/2023",2023-09-19,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"saint preux, ovince","mixed martial arts","3α-hydroxy-5α-androst-1-en-17-one","6-month suspension","09/18/2023",2023-09-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"wilson, alyssa","track & field","canrenone","public warning","09/18/2023",2023-09-18,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"casey, cortney","mixed martial arts","bpc-157","4-month suspension","09/14/2023",2023-09-14,FALSE,FALSE,FALSE,"analytic","single","S0 UNAPPROVED SUBSTANCES"
"taylor, zach","powerlifting","cannabinoids","3-month suspension; loss of results","09/11/2023",2023-09-11,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"ostrander, allison","track & field","canrenone","4-month suspension; loss of results","08/25/2023",2023-08-25,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"berry, gwen","track & field","canrenone","16-month suspension; loss of results","08/02/2023",2023-08-02,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"olsen, chad","weightlifting","epitrenbolone","3-year suspension; loss of results","07/12/2023",2023-07-12,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"murphy, toccata","track & field","dehydroepiandrosterone (dhea)","8-month suspension","07/11/2023",2023-07-11,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"smith, braxton","mixed martial arts","testosterone","2-year suspension","06/27/2023",2023-06-27,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"brim, katerina","paralympic cycling","insulin","1-year suspension; loss of results","05/23/2023",2023-05-23,FALSE,TRUE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"clark, breanna","paralympic track & field","hydrochlorothiazide (hctz)","public warning","05/04/2023",2023-05-04,FALSE,TRUE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"marquez, marc","weightlifting","cannabinoids","3-month suspension; loss of results","04/28/2023",2023-04-28,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"dowling, andrea","weightlifting","methenolone","3-year suspension; loss of results","04/27/2023",2023-04-27,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"davis-woodhall, tara","track & field","cannabinoids","1-month suspension; loss of results","04/25/2023",2023-04-25,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"willey, quentin","bobsled","boldenone","3-year suspension; loss of results","04/18/2023",2023-04-18,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"mcpherson, inika","track & field","furosemide","16-month suspension; loss of results","04/14/2023",2023-04-14,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
"galvão, micael","brazilian jiu-jitsu","clomiphene","1-year suspension; loss of results","04/05/2023",2023-04-05,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"scavilla, robert","weightlifting","dehydrochlormethyltestosterone (dhcmt)","4-year suspension; loss of results","03/17/2023",2023-03-17,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"oliver, jordan","wrestling","cannabinoids","2-year suspension; loss of results","03/15/2023",2023-03-15,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"da costa feliz, igor nascimento","brazilian jiu-jitsu","testosterone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"de abreu filho, roberto","brazilian jiu-jitsu","testosterone","3-year suspension; loss of results","03/08/2023",2023-03-08,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"witte, keiser","weightlifting","cannabinoids","1-month suspension; loss of results","02/24/2023",2023-02-24,FALSE,FALSE,FALSE,"analytic","single","S8 CANNABINOIDS"
"do carmo mota, carlos","mixed martial arts","meldonium","2-year suspension","02/21/2023",2023-02-21,FALSE,FALSE,FALSE,"analytic","single","S4 HORMONE AND METABOLIC MODULATORS"
"andrew, sidney","cycling","5-methylhexan-2-amine","12-month suspension; loss of results","12/05/2022",2022-12-05,FALSE,FALSE,FALSE,"analytic","single","S6 STIMULANTS"
"scherf, lindsey","track & field","androgenic anabolic steroid","4-year suspension; loss of results; sanction tolled due to retirement","11/29/2022",2022-11-29,FALSE,FALSE,FALSE,"analytic","single","S1 ANABOLIC AGENTS"
"skoog, arika","boxing","furosemide","1-year suspension; loss of results","10/26/2022",2022-10-26,FALSE,FALSE,FALSE,"analytic","single","S5 DIURETICS/MASKING AGENTS"
