athlete,sport,substance_reason,sanction_terms,sanction_announced
"montañez barroso, elias",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,01/10/2023
"ruiz-gutierrez, noslen",cycling,dexamethasone; phentermine; 19-noretiocholanolone (19-ne); 19-norandrosterone (19-na); anabolic agent,4-year suspension; loss of results,01/04/2023
"roberts, gil",track and field,andarine; ostarine,16-month suspension; loss of results,12/08/2022
"andrew, sidney",cycling,5-methylhexan-2-amine,12-month suspension; loss of results,12/05/2022
"rodriguez ocasio, christian",weightlifting,heptaminol; octodrine,12-month suspension; loss of results,11/30/2022
"scherf, lindsey",track and field,androgenic anabolic steroid,4-year suspension; loss of results,11/29/2022
"mead, hassan",track and field,ostarine; lgd-4033,3-year suspension; loss of results,11/29/2022
"evans, aja",bobsled,non-analytical: refusal to submit to sample collection,2-year suspension; loss of results,11/18/2022
"scantling, garrett",track and field,non-analytical: 3 whereabouts failures; tampering,3-year suspension; loss of results,11/18/2022
"provisor, ben",wrestling,amphetamine,16-month suspension; loss of results,11/15/2022
"skoog, arika",boxing,furosemide,1-year suspension; loss of results,10/26/2022
"navarrete, rene",weightlifting,cannabinoids,3-month suspension; loss of results,10/14/2022
"green, bobby",mixed martial arts,dehydroepiandrosterone (dhea),6-month suspension,10/07/2022
"guimarães, catarina",para track and field,non-analytical: use (intravenous infusion),public warning,10/05/2022
"bringas, joshua",weightlifting,"heptaminol; ibutamoren, oxilofrine; gw1516",3-year suspension; loss of results,09/26/2022
"zaleski dos santos, elizeu",mixed martial arts,ostarine,1-year suspension,09/22/2022
"ray, olivia",cycling,"human growth hormone (hgh), clenbuterol, and oxandrolone; non-analytical: possession",30-month suspension; loss of results,09/22/2022
"browne, richard",para track and field,cannabinoids,3-month suspension; loss of results,09/07/2022
"hearn, timothy",weightlifting,19-norandrosterone (19-na); trenbolone; clomiphene; gw1516; non-analytical: use (iv and blood transfusion),3-year suspension; loss of results,09/06/2022
"trujillo, nelson",cycling,non-analytical: refusal to submit to sample collection,12-year suspension; loss of results,09/02/2022
"jordan, clint",weightlifting,anabolic agent,4-year suspension; loss of results,09/01/2022
"coleman, ellis",wrestling,dehydroepiandrosterone (dhea),24-month suspension; loss of results,08/31/2022
"walker, gregory",para track and field,cannabinoids,3-month suspension; loss of results,08/16/2022
"hattingh, riekert",rugby,tamoxifen,6-month suspension; loss of results,08/11/2022
"nash, jackson ""huntley""",cycling,non-analytical: possession and use/attempted use; tampering/attempted tampering; trafficking/attempted trafficking; administration/attempted administration; complicity/attempted complicity; retaliation,lifetime suspension; loss of results,08/10/2022
"howes, lucas",cycling,cannabinoids,3-month suspension; loss of results,08/05/2022
"johns, miles",mixed martial arts,adderall,public warning,07/21/2022
"struxness, wyatt",boccia,furosemide,public warning,07/07/2022
"pena, felipe",brazilian jiu-jitsu,clomiphene,1-year suspension; loss  of results,06/16/2022
"allen, sabina",track and field,phentermine; lgd-4033,4-year suspension; loss of results,06/09/2022
"monastyrskyi, andrii",canoe,meldonium,3-year suspension; loss of results,06/02/2022
"kynard, erik",track and field,non-analytical: use (iv),6-month suspension,05/27/2022
"evans-smith, ashlee",mixed martial arts,dehydroepiandrosterone (dhea),14-month suspension,05/16/2022
"blanchfield, erin",mixed martial arts,spironolactone,public warning,05/13/2022
"downing, tricia",para shooting,androgenic anabolic steroid,2-year suspension,05/09/2022
"irizarry, ana",track and field,meldonium,3-year suspension; loss of results,05/04/2022
