athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type,multiple_sr
"montañez barroso, elias",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2023-01-10,FALSE,FALSE,FALSE,non-analytical,FALSE
"ruiz-gutierrez, noslen",cycling,dexamethasone; phentermine; 19-noretiocholanolone (19-ne); 19-norandrosterone (19-na); anabolic agent,4-year suspension; loss of results,2023-01-04,FALSE,FALSE,FALSE,analytical,TRUE
"roberts, gil",track & field,andarine; ostarine,16-month suspension; loss of results,2022-12-08,FALSE,FALSE,FALSE,analytical,TRUE
"andrew, sidney",cycling,5-methylhexan-2-amine,12-month suspension; loss of results,2022-12-05,FALSE,FALSE,FALSE,analytical,FALSE
"rodriguez ocasio, christian",weightlifting,heptaminol; octodrine,12-month suspension; loss of results,2022-11-30,FALSE,FALSE,FALSE,analytical,TRUE
"scherf, lindsey",track & field,androgenic anabolic steroid,4-year suspension; loss of results,2022-11-29,FALSE,FALSE,FALSE,analytical,FALSE
"mead, hassan",track & field,ostarine; lgd-4033,3-year suspension; loss of results,2022-11-29,FALSE,FALSE,FALSE,analytical,TRUE
"evans, aja",bobsled,non-analytical: refusal to submit to sample collection,2-year suspension; loss of results,2022-11-18,FALSE,FALSE,FALSE,non-analytical,FALSE
"scantling, garrett",track & field,non-analytical: 3 whereabouts failures; tampering,3-year suspension; loss of results,2022-11-18,FALSE,FALSE,FALSE,non-analytical,TRUE
"provisor, ben",wrestling,amphetamine,16-month suspension; loss of results,2022-11-15,FALSE,FALSE,FALSE,analytical,FALSE
"skoog, arika",boxing,furosemide,1-year suspension; loss of results,2022-10-26,FALSE,FALSE,FALSE,analytical,FALSE
"navarrete, rene",weightlifting,cannabinoids,3-month suspension; loss of results,2022-10-14,FALSE,FALSE,FALSE,analytical,FALSE
"green, bobby",mixed martial arts,dehydroepiandrosterone (dhea),6-month suspension,2022-10-07,FALSE,FALSE,FALSE,analytical,FALSE
"guimarães, catarina",para track & field,non-analytical: use (intravenous infusion),public warning,2022-10-05,FALSE,FALSE,TRUE,non-analytical,FALSE
"bringas, joshua",weightlifting,"heptaminol; ibutamoren, oxilofrine; gw1516",3-year suspension; loss of results,2022-09-26,FALSE,FALSE,FALSE,analytical,TRUE
"zaleski dos santos, elizeu",mixed martial arts,ostarine,1-year suspension,2022-09-22,FALSE,FALSE,FALSE,analytical,FALSE
"ray, olivia",cycling,"human growth hormone (hgh), clenbuterol, and oxandrolone; non-analytical: possession",30-month suspension; loss of results,2022-09-22,FALSE,FALSE,FALSE,non-analytical,TRUE
"browne, richard",para track & field,cannabinoids,3-month suspension; loss of results,2022-09-07,FALSE,FALSE,TRUE,analytical,FALSE
"hearn, timothy",weightlifting,19-norandrosterone (19-na); trenbolone; clomiphene; gw1516; non-analytical: use (iv and blood transfusion),3-year suspension; loss of results,2022-09-06,FALSE,FALSE,FALSE,non-analytical,TRUE
"trujillo, nelson",cycling,non-analytical: refusal to submit to sample collection,12-year suspension; loss of results,2022-09-02,FALSE,FALSE,FALSE,non-analytical,FALSE
"jordan, clint",weightlifting,anabolic agent,4-year suspension; loss of results,2022-09-01,FALSE,FALSE,FALSE,analytical,FALSE
"coleman, ellis",wrestling,dehydroepiandrosterone (dhea),24-month suspension; loss of results,2022-08-31,FALSE,FALSE,FALSE,analytical,FALSE
"walker, gregory",para track & field,cannabinoids,3-month suspension; loss of results,2022-08-16,FALSE,FALSE,TRUE,analytical,FALSE
"hattingh, riekert",rugby,tamoxifen,6-month suspension; loss of results,2022-08-11,FALSE,FALSE,FALSE,analytical,FALSE
"nash, jackson ""huntley""",cycling,non-analytical: possession and use/attempted use; tampering/attempted tampering; trafficking/attempted trafficking; administration/attempted administration; complicity/attempted complicity; retaliation,lifetime suspension; loss of results,2022-08-10,FALSE,FALSE,FALSE,non-analytical,TRUE
"howes, lucas",cycling,cannabinoids,3-month suspension; loss of results,2022-08-05,FALSE,FALSE,FALSE,analytical,FALSE
"johns, miles",mixed martial arts,adderall,public warning,2022-07-21,FALSE,FALSE,FALSE,analytical,FALSE
"struxness, wyatt",boccia,furosemide,public warning,2022-07-07,FALSE,FALSE,FALSE,analytical,FALSE
"pena, felipe",brazilian jiu-jitsu,clomiphene,1-year suspension; loss  of results,2022-06-16,FALSE,FALSE,FALSE,analytical,FALSE
"allen, sabina",track & field,phentermine; lgd-4033,4-year suspension; loss of results,2022-06-09,FALSE,FALSE,FALSE,analytical,TRUE
"monastyrskyi, andrii",canoe,meldonium,3-year suspension; loss of results,2022-06-02,FALSE,FALSE,FALSE,analytical,FALSE
"kynard, erik",track & field,non-analytical: use (iv),6-month suspension,2022-05-27,FALSE,FALSE,FALSE,non-analytical,FALSE
"evans-smith, ashlee",mixed martial arts,dehydroepiandrosterone (dhea),14-month suspension,2022-05-16,FALSE,FALSE,FALSE,analytical,FALSE
"blanchfield, erin",mixed martial arts,spironolactone,public warning,2022-05-13,FALSE,FALSE,FALSE,analytical,FALSE
"downing, tricia",para shooting,androgenic anabolic steroid,2-year suspension,2022-05-09,FALSE,FALSE,TRUE,analytical,FALSE
"irizarry, ana",track & field,meldonium,3-year suspension; loss of results,2022-05-04,FALSE,FALSE,FALSE,analytical,FALSE
"valdes, hanncer",cycling,stanozolol,4-year suspension; loss of results,2022-04-28,FALSE,FALSE,FALSE,analytical,FALSE
"graham, taylor",wheelchair tennis,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2022-04-27,FALSE,FALSE,FALSE,non-analytical,FALSE
"borrego lee, geony",cycling,phentermine,3-year suspension; loss of results,2022-04-20,FALSE,FALSE,FALSE,analytical,FALSE
"gormley, isabel",swimming,non-analytical: 3 whereabouts failures,1-year suspension; loss of results,2022-04-19,FALSE,FALSE,FALSE,non-analytical,FALSE
"mckay, dryden",ice hockey,ostarine,6-month suspension; loss of results,2022-04-18,FALSE,FALSE,FALSE,analytical,FALSE
"summerhill, daniel",cycling,amphetamine,1-year suspension; loss of results,2022-03-31,FALSE,FALSE,FALSE,analytical,FALSE
"abers, brian",cycling,ibutamoren,1-year suspension; loss of results,2022-03-18,FALSE,FALSE,FALSE,analytical,FALSE
"palmer, ahje",weightlifting,cannabinoids,1-month suspension; loss of results,2022-03-11,FALSE,FALSE,FALSE,analytical,FALSE
"lazishvili, zviad",mixed martial arts,clomiphene,10-month suspension,2022-02-23,FALSE,FALSE,FALSE,analytical,FALSE
"chavez, bernabe",weightlifting,"non-analytical: tampering, complicity",4-year suspension,2022-02-04,FALSE,FALSE,FALSE,non-analytical,TRUE
"wilson, ian",weightlifting,stanozolol; drostanolone,3-year suspension; loss of results,2022-02-03,FALSE,FALSE,FALSE,analytical,TRUE
"prazeres, michel",mixed martial arts,clomiphene; oxandrolone; androgenic anabolic steroid,4-year suspension,2021-12-23,FALSE,FALSE,FALSE,analytical,TRUE
"bowlby, grace",ice hockey,spironolactone,public warning,2021-12-16,FALSE,FALSE,FALSE,analytical,FALSE
"lampkin, trey",paralympic judo,hydrochlorothiazide (hctz),public warning,2021-12-07,FALSE,FALSE,TRUE,analytical,FALSE
"wethington, madeline",ice hockey,spironolactone,public warning,2021-12-06,FALSE,FALSE,FALSE,analytical,FALSE
"adel, jordan",weightlifting,ostarine; lgd-4033; ibutamoren,3-year suspension; loss of results,2021-11-30,FALSE,FALSE,FALSE,analytical,TRUE
"webb, noah",triathlon,androgenic anabolic steroid,4-year suspension; loss of results,2021-11-29,FALSE,FALSE,FALSE,analytical,FALSE
"benoit, ryan",mixed martial arts,modafinil,10-month suspension,2021-11-08,FALSE,FALSE,FALSE,analytical,FALSE
"tran, hillary",weightlifting,cocaine; d-methamphetamine,1-year suspension; loss of results,2021-10-28,FALSE,FALSE,FALSE,analytical,TRUE
"daniels, jamaal",paralympic track & field,non-analytical: administration; tampering,4-year suspension,2021-10-21,FALSE,FALSE,TRUE,non-analytical,TRUE
"jackson, desmond",paralympic track & field,dehydroepiandrosterone (dhea),14-month suspension; loss of results,2021-10-21,FALSE,FALSE,TRUE,analytical,FALSE
"augusto de freitas, geraldo",mixed martial arts,androgenic anabolic steroid,2-year suspension,2021-10-13,FALSE,FALSE,FALSE,analytical,FALSE
"mcwhirter, matt",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-09-30,FALSE,FALSE,FALSE,analytical,FALSE
"lacoste, jacob",weightlifting,clomiphene; 19-norandrosterone (19-na),3-year suspension; loss of results,2021-09-29,FALSE,FALSE,FALSE,analytical,TRUE
"bontorin, rogerio",mixed martial arts,hydrochlorothiazide (hctz),3-month suspension,2021-09-29,FALSE,FALSE,FALSE,analytical,FALSE
"prince, mcaben",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-09-14,FALSE,FALSE,FALSE,analytical,FALSE
"butterworth, andrew",weightlifting,non-analytical: refusal to submit to sample collection,7-year suspension; loss of results; sanction tolled due to retirement,2021-09-10,FALSE,FALSE,FALSE,non-analytical,FALSE
"shakirova, liliya",mixed martial arts,meldonium,2-year suspension,2021-08-30,FALSE,FALSE,FALSE,analytical,FALSE
"buckley, christian",weightlifting,ostarine,3-year suspension - loss of results,2021-08-25,FALSE,FALSE,FALSE,analytical,FALSE
"compton, katherine",cycling,androgenic anabolic steroid,4-year suspension; loss of results,2021-08-11,FALSE,FALSE,FALSE,analytical,FALSE
"hancock, regina",weightlifting,stanozolol,4-year suspension; loss of results,2021-08-11,FALSE,FALSE,FALSE,analytical,FALSE
"storie, logan",pentathlon,ostarine; lgd‐4033; gw1516,6-year suspension; second violation - sanction was tolled due to retirement; unretired so is eligible to compete starting 12/31/2026,2021-08-06,FALSE,FALSE,FALSE,analytical,TRUE
"alvis, juancamilo ronderos",mixed martial arts,cocaine,1-month suspension,2021-07-29,FALSE,FALSE,FALSE,analytical,FALSE
"richardson, sha'carri",track & field,cannabinoids,1-month suspension; loss of results,2021-07-02,FALSE,FALSE,FALSE,analytical,FALSE
"nelson, james",weightlifting,dehydrochloromethyltestosterone (dhcmt),4-year suspension; loss of results,2021-07-01,FALSE,FALSE,FALSE,analytical,FALSE
"prince, david",paralympic track & field,ostarine; lgd‐4033,12-month suspension; loss of results,2021-06-29,FALSE,FALSE,TRUE,analytical,TRUE
"koch, erik",mixed martial arts,stanozolol,18-month suspension,2021-06-16,FALSE,FALSE,FALSE,analytical,FALSE
